S_max_mult,S_max,M,dS,price,abs_error,runtime_s
1.5,150.0,1200,0.125,6.09020850653286,0.0001621061029402071,0.9944544159999964
2.0,200.0,1600,0.125,6.090305212031802,6.540060399817804e-05,1.1619748340000058
2.5,250.0,2000,0.125,6.090305212194982,6.540044081759788e-05,1.2845184159999974
3.0,300.0,2400,0.125,6.090305212194996,6.54004408042752e-05,1.4253228750000062
4.0,400.0,3200,0.125,6.090305212194985,6.540044081493335e-05,1.7294653330000074
6.0,600.0,4800,0.125,6.0903052121950045,6.540044079539342e-05,2.4033808750000105
8.0,800.0,6400,0.125,6.090305212194983,6.54004408167097e-05,3.069417874999999
12.0,1200.0,9600,0.125,6.090305212194993,6.540044080693974e-05,4.557330250000007
